City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
255,den helder,52.9599,4.7593,-0.01,88,49,2.57,N,1675829562
256,lata,40.1629,-8.3327,5.12,85,37,3.02,P,1675829562
257,caruray,10.3094,119.0128,29.09,63,100,4.13,P,1675829562
258,pochutla,15.7432,-96.4661,23.23,64,0,1.95,M,1675829563
259,san patricio,28.017,-97.5169,22.16,88,93,5.26,U,1675829563
260,harnosand,62.6323,17.9379,-7.0,90,45,2.14,S,1675829564
261,shakawe,-18.3667,21.85,18.98,97,99,2.39,B,1675829564
262,christchurch,-43.5333,172.6333,23.56,54,20,6.69,N,1675829400
263,custodia,-8.0875,-37.6431,19.11,76,91,2.05,B,1675829564
264,plouzane,48.3833,-4.6167,2.03,84,0,3.09,F,1675829565
265,kuala selangor,3.35,101.25,33.66,66,83,1.0,M,1675829552
266,asosa,10.0667,34.5333,16.79,40,5,2.7,E,1675829565
267,hovd,48.0056,91.6419,-14.54,74,98,1.18,M,1675829566
268,acarau,-2.8856,-40.12,25.25,83,100,3.77,B,1675829566
269,brae,60.3964,-1.353,6.8,73,100,13.47,G,1675829566
270,margate,51.3813,1.3862,4.01,68,50,1.18,G,1675829410
271,uyuni,-20.4597,-66.825,9.0,73,96,1.37,B,1675829567
272,katsuura,35.1333,140.3,10.21,68,97,8.39,J,1675829567
273,mount gambier,-37.8333,140.7667,23.11,45,12,5.48,A,1675829568
274,hinton,53.4001,-117.5857,-1.71,98,100,0.18,C,1675829568
275,rongcheng,30.634,117.8517,9.47,79,100,3.95,C,1675829568
276,erenhot,43.6475,111.9767,-6.27,47,100,1.46,C,1675829569
277,findlay,41.0442,-83.6499,2.72,88,100,4.63,U,1675829281
278,dzaoudzi,-12.7887,45.2699,26.94,89,75,2.06,Y,1675829569
279,yatou,37.15,122.3833,4.06,50,92,5.56,C,1675829570
280,tomatlan,19.9333,-105.25,17.93,88,0,1.24,M,1675829570
281,south sioux city,42.4739,-96.4136,-1.11,78,0,2.57,U,1675829570
282,tonantins,-2.8731,-67.8022,23.16,99,98,0.41,B,1675829571
283,sao filipe,14.8961,-24.4956,20.04,69,25,4.6,C,1675829571
284,iskateley,67.6803,53.1512,0.58,83,88,10.31,R,1675829571
285,hamilton,39.1834,-84.5333,10.6,90,100,2.57,U,1675829448
286,sivaki,52.6333,126.75,-21.08,79,18,2.65,R,1675829572
287,kaseda,31.4167,130.3167,14.78,50,31,6.37,J,1675829572
288,alto araguaia,-17.3147,-53.2153,19.79,93,73,1.88,B,1675829573
289,aranos,-24.1333,19.1167,20.59,72,73,2.38,N,1675829573
290,phan thiet,10.9333,108.1,30.65,54,12,5.11,V,1675829573
291,monaco-ville,43.731,7.4248,6.47,50,0,6.17,F,1675829574
292,ixtapa,20.7,-105.2,21.24,83,0,0.0,M,1675829381
293,faanui,-16.4833,-151.75,27.22,72,25,5.21,P,1675829574
294,geraldton,-28.7667,114.6,33.23,35,0,3.6,A,1675829574
295,sovetskiy,61.3614,63.5842,-18.13,96,100,3.22,R,1675829575
296,otradnoye,59.7775,30.8181,-0.97,86,100,4.32,R,1675829575
297,narsaq,60.9167,-46.05,-20.88,66,16,4.1,G,1675829575
298,bethel,41.3712,-73.414,3.2,85,75,0.0,U,1675829576
299,turukhansk,65.8167,87.9833,-16.14,96,100,2.4,R,1675829576
